camaras	id	mes_dia	procedimiento	estado	acuerdo	desacuerdo	ano	comisiones
	9992	May 29	Aprobación del artículo 51 contenido en el pliego de modificaciones en la Comisión primera del Senado y de la Cámara de Representantes.	aprobado	97%	3%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9993	May 29	Aprobación del artículo 53 contenido en el pliego de modificaciones en la Comisión primera del Senado y de la Cámara de Representantes.	aprobado	97%	3%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10122	May 29	Aprobación del artículo 54 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	95%	5%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10123	May 29	Aprobación del artículo 66 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	95%	5%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10124	May 29	Aprobación del artículo 67 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	98%	2%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10125	May 29	Aprobación del artículo 74 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	90%	10%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10126	May 29	Aprobación del artículo 76 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	92%	8%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10127	May 29	Aprobación del artículo 78 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	95%	5%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10128	May 29	Aprobación del artículo 79 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	95%	5%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10129	May 29	Aprobación del artículo 80 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	97%	3%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
